2026-01-20 18:44:42,636 | ERROR | 配置错误: target_wallet 未配置
2026-01-20 18:45:38,198 | INFO | ============================================================
2026-01-20 18:45:38,198 | INFO | 🚀 Polymarket 跟单引擎启动
2026-01-20 18:45:38,198 | INFO |    目标钱包: 0xdb27bf2a...a6c56e
2026-01-20 18:45:38,199 | INFO |    跟单比例: 0.1
2026-01-20 18:45:38,199 | INFO |    单笔上限: $50.0
2026-01-20 18:45:38,199 | INFO |    模拟模式: True
2026-01-20 18:45:38,199 | INFO |    轮询间隔: 3s
2026-01-20 18:45:38,200 | INFO | ============================================================
2026-01-20 18:45:39,346 | INFO | 📍 设置起点: 2026-01-20 09:06:34
2026-01-20 18:45:56,916 | INFO | 
🛑 跟单引擎停止
2026-01-20 18:51:04,501 | INFO | ============================================================
2026-01-20 18:51:04,501 | INFO | 🚀 Polymarket 跟单引擎启动
2026-01-20 18:51:04,502 | INFO |    目标钱包: 0xdb27bf2a...a6c56e
2026-01-20 18:51:04,502 | INFO |    跟单比例: 0.1
2026-01-20 18:51:04,503 | INFO |    单笔上限: $50.0
2026-01-20 18:51:04,503 | INFO |    模拟模式: True
2026-01-20 18:51:04,503 | INFO |    轮询间隔: 3s
2026-01-20 18:51:04,503 | INFO | ============================================================
2026-01-20 18:51:05,559 | INFO | 📍 设置起点: 2026-01-20 09:06:34
2026-01-20 18:58:05,458 | INFO | 
🛑 跟单引擎停止
